Icarus
Geographos
Apollo
Midas
Adonis
Tantalus
Aristaeus
Oljato
Hathor
Florence
Phaethon
Orpheus
Khufu
Dionysus
1982 XB
Wilson-Harrington
1986 PA
Toutatis
Cuno
Pan
Mithra
Asclepius
Nereus
Castalia
1990 MU
Ptah
1990 UQ
1992 FE
1993 EA
1988 EG
Minos
Golevka
1991 OA
1989 JA
1991 VK
1994 PC1
1988 XB
1991 CS
1990 MF
1996 EN
1991 EE
1992 SK
1989 UR
1998 OH
Zephyr
1997 BR
Hypnos
1998 QS52
1998 VD35
1998 WT
2000 PN9
Itokawa
2000 XK47
1998 DV9
1950 DA
1999 JT6
1998 WT24
1991 VH
1997 XF11
1993 VB
Illapa
1999 GU3
1993 DQ1
2000 GE2
1998 ML14
1998 OR2
1999 JM8
1999 SL5
1999 TF5
2000 BF19
2000 ED104
1989 UQ
1991 DG
1993 BX3
Didymos
1998 FH12
1999 KW4
2000 LY27
2000 OL8
2001 CV26
2001 KZ66
2001 KB67
2001 PM9
2001 XR31
2002 QF15
Hermes
1991 AQ
1993 KH
Mjolnir
1998 OX4
1998 SS49
1998 UT18
1999 DJ4
1999 JD6
1999 JV6
1999 NC43
2000 GK137
2000 SY2
2001 FM129
2001 US16
2002 CE
2002 LY45
2002 NT7
2002 VU94
2003 YE45
2003 YK118
2001 KY66
Apophis
1992 UY4
1999 MM
1999 RQ36
1999 XA143
2001 XU10
1978 CA
1979 XB
1983 LC
1988 TA
1989 DA
1989 UP
1989 VB
1990 HA
1990 OS
1990 SM
1990 UA
1991 BN
1991 GO
1991 JW
1991 RB
1993 VD
1994 AW1
1994 CC
1994 CJ1
1994 CN2
1994 EK
1994 NE
1994 RC
1994 UG
1994 WR12
1994 XD
1994 XL1
1995 CR
1995 SA
1995 YR1
1996 AJ1
1996 AW1
1996 EO
1996 FG3
1996 FO3
1996 JG
1996 JA1
1996 RG3
1996 SK
1997 BQ
1997 GL3
1997 GD32
1997 NC1
1997 QK1
1997 US2
1997 VG6
1997 WQ23
1997 XR2
1998 BY7
1998 BB10
1998 CS1
1998 FL3
1998 FW4
1998 FF14
1998 HL1
1998 HE3
1998 HJ3
1998 HL3
1998 HD14
1998 HT31
1998 HH49
1998 KM3
1998 KN3
1998 KJ9
1998 MZ
1998 OK1
1998 QP
1998 QA1
1998 QC1
1998 QE2
1998 QK28
1998 QA62
1998 SH2
1998 SU4
1998 SY14
1998 SA15
1998 SC15
1998 ST27
1998 SZ27
1998 SH36
1998 SL36
1998 SJ70
1998 US18
1998 VO
1998 VF32
1998 WZ1
1998 WB2
1998 WZ6
1998 XN2
1998 XX2
1998 XD12
1998 YM4
1999 AN10
1999 AQ10
1999 BJ8
1999 CF9
1999 DB7
1999 FA
1999 GL4
1999 GS6
1999 JE1
1999 JU3
1999 JZ10
1999 LT1
1999 LX1
1999 LS7
1999 MN
1999 NB5
1999 RR28
1999 RM45
1999 SO5
1999 SG10
1999 TO13
1999 TT16
1999 TF211
1999 UR
1999 VR6
1999 VP11
1999 VF22
1999 VT25
1999 XS35
1999 XK136
1999 XL136
1999 XM141
1999 YD
1999 YG3
1999 YR14
2000 AA6
2000 AC6
2000 AF6
2000 AZ93
2000 AF205
2000 BO28
2000 CM33
2000 CO33
2000 CE59
2000 CH59
2000 CO101
2000 CP101
2000 CT101
2000 DN1
2000 DO1
2000 DK79
2000 DP107
2000 EA14
2000 ED14
2000 EE14
2000 EH26
2000 EJ26
2000 EK26
2000 ET70
2000 EU70
2000 EV70
2000 EW70
2000 EE104
2000 GF2
2000 GJ147
2000 GV147
2000 HA24
2000 JE5
2000 JF5
2000 JG5
2000 KA
2000 KW43
2000 LF3
2000 LB16
2000 MU1
2000 OH
2000 OJ8
2000 PD3
2000 PY5
2000 PP9
2000 QS7
2000 QV7
2000 QW7
2000 QW69
2000 QK130
2000 RS11
2000 RW37
2000 RD53
2000 SP43
2000 SU180
2000 TU28
2000 UH1
2000 UG11
2000 UL11
2000 WK10
2000 WO67
2000 WO107
2000 YJ11
2000 YF29
2000 YG29
2000 YN29
2000 YV137
2001 AD2
2001 BE10
2001 BO61
2001 CB21
2001 DF47
2001 EC
2001 EB18
2001 FO32
2001 FA58
2001 FC58
2001 FD58
2001 FB90
2001 FE90
2001 GN2
2001 GQ2
2001 GR2
2001 GT2
2001 HB
2001 HA4
2001 HY7
2001 HZ7
2001 JM1
2001 JV1
2001 KO2
2001 KF54
2001 LD
2001 ME1
2001 MG1
2001 OY13
2001 PT9
2001 QC34
2001 QJ96
2001 QL142
2001 QQ142
2001 RA12
2001 SQ3
2001 SG10
2001 SO73
2001 SK162
2001 SX169
2001 SG262
2001 SY269
2001 SZ269
2001 SG286
2001 SN289
2001 TX1
2001 TA2
2001 TX44
2001 TC45
2001 TD45
2001 TO48
2001 UY4
2001 UA5
2001 UZ16
2001 VB
2001 VC2
2001 VJ5
2001 VK5
2001 VB76
2001 WH1
2001 WS1
2001 WN5
2001 XU
2001 XP1
2001 XT1
2001 XR30
2001 XU30
2001 XP31
2001 XN254
2001 YP3
2001 YV3
2001 YE4
2001 YJ4
2001 YB5
2002 AV
2002 AW
2002 AY1
2002 AZ1
2002 AP3
2002 AS4
2002 AT4
2002 AC5
2002 AC9
2002 AM31
2002 AJ129
2002 BK25
2002 BM26
2002 CY9
2002 CZ9
2002 CQ11
2002 CU11
2002 CD14
2002 DO3
2002 DU3
2002 DJ5
2002 EY2
2002 EL6
2002 EU11
2002 EV11
2002 EZ11
2002 FC
2002 FB3
2002 FQ5
2002 FV5
2002 FG7
2002 GT
2002 GM2
2002 GM5
2002 GO5
2002 GZ8
2002 HP11
2002 HK12
2002 JX8
2002 JZ8
2002 JB9
2002 JE9
2002 JQ9
2002 JV15
2002 KG4
2002 KJ4
2002 KK8
2002 LV
2002 LX
2002 LY1
2002 LT38
2002 MX
2002 MR3
2002 MT3
2002 NN4
2002 NV16
